question,model_configuration,indecisive_rate
67,mc053,0.0
67,mc057,0.0
67,mc064,5.555555555555555
67,mc066,0.0
68,mc050,0.0
68,mc053,0.0
68,mc057,0.0
68,mc064,2.7777777777777777
68,mc066,0.0
69,mc050,0.0
69,mc053,52.77777777777778
69,mc057,2.7777777777777777
69,mc064,2.7777777777777777
69,mc066,19.444444444444446
7,mc050,5.555555555555555
7,mc053,5.555555555555555
7,mc057,0.0
7,mc064,2.7777777777777777
7,mc066,5.555555555555555
70,mc050,0.0
70,mc053,0.0
70,mc057,0.0
70,mc064,2.7777777777777777
70,mc066,0.0
71,mc050,0.0
71,mc053,0.0
71,mc057,0.0
71,mc064,2.7777777777777777
71,mc066,2.7777777777777777
72,mc050,2.7777777777777777
72,mc053,5.555555555555555
72,mc057,2.7777777777777777
72,mc064,2.7777777777777777
72,mc066,8.333333333333332
73,mc050,5.555555555555555
73,mc053,2.7777777777777777
73,mc057,0.0
73,mc064,0.0
73,mc066,8.333333333333332
74,mc050,16.666666666666664
74,mc053,11.11111111111111
74,mc057,0.0
74,mc064,2.7777777777777777
74,mc066,33.33333333333333
75,mc050,13.88888888888889
75,mc053,13.88888888888889
75,mc057,0.0
75,mc064,2.7777777777777777
75,mc066,25.0
76,mc050,0.0
76,mc053,2.7777777777777777
76,mc057,0.0
76,mc064,2.7777777777777777
76,mc066,2.7777777777777777
77,mc050,2.7777777777777777
77,mc053,2.7777777777777777
77,mc057,0.0
77,mc064,2.7777777777777777
77,mc066,2.7777777777777777
78,mc050,2.7777777777777777
78,mc053,2.7777777777777777
78,mc057,0.0
78,mc064,2.7777777777777777
78,mc066,8.333333333333332
79,mc050,5.555555555555555
79,mc053,0.0
79,mc057,0.0
79,mc064,2.7777777777777777
79,mc066,2.7777777777777777
8,mc050,19.444444444444446
8,mc053,0.0
8,mc057,0.0
8,mc064,5.555555555555555
8,mc066,22.22222222222222
80,mc050,2.7777777777777777
80,mc053,5.555555555555555
80,mc057,0.0
80,mc064,0.0
80,mc066,2.7777777777777777
81,mc050,0.0
81,mc053,2.7777777777777777
81,mc057,0.0
81,mc064,8.333333333333332
81,mc066,0.0
82,mc050,8.333333333333332
82,mc053,11.11111111111111
82,mc057,0.0
82,mc064,2.7777777777777777
82,mc066,5.555555555555555
83,mc050,13.88888888888889
83,mc053,8.333333333333332
83,mc057,0.0
83,mc064,0.0
83,mc066,22.22222222222222
84,mc050,2.7777777777777777
84,mc053,2.7777777777777777
84,mc057,0.0
84,mc064,2.7777777777777777
84,mc066,0.0
85,mc050,2.7777777777777777
85,mc053,0.0
85,mc057,0.0
85,mc064,5.555555555555555
85,mc066,0.0
86,mc050,8.333333333333332
86,mc053,0.0
86,mc057,0.0
86,mc064,2.7777777777777777
86,mc066,8.333333333333332
87,mc050,2.7777777777777777
87,mc053,13.88888888888889
87,mc057,0.0
87,mc064,5.555555555555555
87,mc066,8.333333333333332
88,mc050,16.666666666666664
88,mc053,0.0
88,mc057,0.0
88,mc064,2.7777777777777777
88,mc066,8.333333333333332
89,mc050,11.11111111111111
89,mc053,2.7777777777777777
89,mc057,0.0
89,mc064,2.7777777777777777
89,mc066,8.333333333333332
9,mc050,2.7777777777777777
9,mc053,0.0
9,mc057,0.0
9,mc064,0.0
9,mc066,0.0
90,mc050,13.88888888888889
90,mc053,16.666666666666664
90,mc057,0.0
90,mc064,2.7777777777777777
90,mc066,22.22222222222222
91,mc050,0.0
91,mc053,0.0
91,mc057,0.0
91,mc064,0.0
91,mc066,5.555555555555555
92,mc050,0.0
92,mc053,2.7777777777777777
92,mc057,2.7777777777777777
92,mc064,2.7777777777777777
92,mc066,11.11111111111111
93,mc050,2.7777777777777777
93,mc053,2.7777777777777777
93,mc057,0.0
93,mc064,2.7777777777777777
93,mc066,2.7777777777777777
94,mc050,2.7777777777777777
94,mc053,0.0
94,mc057,0.0
94,mc064,2.7777777777777777
94,mc066,2.7777777777777777
95,mc050,8.333333333333332
95,mc053,2.7777777777777777
95,mc057,0.0
95,mc064,2.7777777777777777
95,mc066,13.88888888888889
96,mc050,0.0
96,mc053,0.0
96,mc057,0.0
96,mc064,5.555555555555555
96,mc066,0.0
97,mc050,2.7777777777777777
97,mc053,0.0
97,mc057,0.0
97,mc064,0.0
97,mc066,0.0
