question,model_configuration,wrong_rate
0,mc050,35.294117647058826
0,mc053,29.411764705882355
0,mc057,33.33333333333333
0,mc064,0.0
0,mc066,22.58064516129032
1,mc050,97.05882352941177
1,mc053,48.57142857142857
1,mc057,100.0
1,mc064,88.57142857142857
1,mc066,100.0
10,mc050,0.0
10,mc053,11.11111111111111
10,mc057,0.0
10,mc064,2.857142857142857
10,mc066,0.0
11,mc050,2.941176470588235
11,mc053,6.0606060606060606
11,mc057,2.7777777777777777
11,mc064,11.428571428571429
11,mc066,14.285714285714285
12,mc050,0.0
12,mc053,0.0
12,mc057,0.0
12,mc064,16.666666666666664
12,mc066,0.0
13,mc050,0.0
13,mc053,0.0
13,mc057,0.0
13,mc064,8.823529411764707
13,mc066,0.0
14,mc050,94.28571428571428
14,mc053,78.78787878787878
14,mc057,100.0
14,mc064,100.0
14,mc066,85.71428571428571
15,mc050,0.0
15,mc053,0.0
15,mc057,0.0
15,mc064,0.0
15,mc066,0.0
16,mc050,0.0
16,mc053,52.77777777777778
16,mc057,5.555555555555555
16,mc064,0.0
16,mc066,5.714285714285714
17,mc050,0.0
17,mc053,8.571428571428571
17,mc057,0.0
17,mc064,0.0
17,mc066,0.0
18,mc050,0.0
18,mc053,0.0
18,mc057,0.0
18,mc064,0.0
18,mc066,2.7777777777777777
19,mc050,2.857142857142857
19,mc053,5.714285714285714
19,mc057,0.0
19,mc064,2.857142857142857
19,mc066,0.0
2,mc050,75.0
2,mc053,37.142857142857146
2,mc057,47.22222222222222
2,mc064,13.88888888888889
2,mc066,21.875
20,mc050,2.7777777777777777
20,mc053,0.0
20,mc057,0.0
20,mc064,0.0
20,mc066,0.0
21,mc050,0.0
21,mc053,0.0
21,mc057,0.0
21,mc064,0.0
21,mc066,0.0
22,mc050,0.0
22,mc053,0.0
22,mc057,0.0
22,mc064,0.0
22,mc066,0.0
23,mc050,88.57142857142857
23,mc053,25.0
23,mc057,47.22222222222222
23,mc064,0.0
23,mc066,32.35294117647059
24,mc050,29.411764705882355
24,mc053,91.66666666666666
24,mc057,94.44444444444444
24,mc064,28.57142857142857
24,mc066,58.82352941176471
25,mc050,2.857142857142857
25,mc053,63.33333333333333
25,mc057,8.333333333333332
25,mc064,0.0
25,mc066,2.857142857142857
26,mc050,100.0
26,mc053,48.484848484848484
26,mc057,91.66666666666666
26,mc064,31.428571428571427
26,mc066,100.0
27,mc050,87.87878787878788
27,mc053,69.44444444444444
27,mc057,97.22222222222221
27,mc064,88.88888888888889
27,mc066,45.714285714285715
28,mc050,8.823529411764707
28,mc053,16.129032258064516
28,mc057,44.44444444444444
28,mc064,3.125
28,mc066,3.8461538461538463
29,mc050,0.0
29,mc053,2.857142857142857
29,mc057,2.7777777777777777
29,mc064,0.0
29,mc066,0.0
3,mc050,55.172413793103445
3,mc053,22.857142857142858
3,mc057,91.66666666666666
3,mc064,0.0
3,mc066,7.142857142857142
30,mc050,63.888888888888886
30,mc053,2.857142857142857
30,mc057,97.22222222222221
30,mc064,0.0
30,mc066,25.0
31,mc050,0.0
31,mc053,0.0
31,mc057,0.0
31,mc064,0.0
31,mc066,0.0
32,mc050,0.0
32,mc053,58.82352941176471
32,mc057,13.88888888888889
32,mc064,0.0
32,mc066,13.88888888888889
33,mc050,0.0
33,mc053,0.0
33,mc057,0.0
33,mc064,34.285714285714285
33,mc066,27.586206896551722
34,mc050,0.0
34,mc053,20.0
34,mc057,0.0
34,mc064,0.0
34,mc066,3.0303030303030303
35,mc050,0.0
35,mc053,0.0
35,mc057,0.0
35,mc064,2.857142857142857
35,mc066,0.0
36,mc050,0.0
36,mc053,0.0
36,mc057,0.0
36,mc064,0.0
36,mc066,0.0
37,mc050,0.0
37,mc053,0.0
37,mc057,0.0
37,mc064,0.0
37,mc066,2.7777777777777777
38,mc050,8.823529411764707
38,mc053,0.0
38,mc057,8.333333333333332
